Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1905,3,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Kangra,,,,,,,,8.0,Richter,32.04,76.16,06:20,,1905,4.0,4.0,1905,4.0,4.0,20000.0,,,,,,25000.0,3.479379053,,,,
1950,8,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Assam province,,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,,,,9.0,Richter,28.5,96.5,19:39,,1950,8.0,15.0,1950,8.0,15.0,1500.0,,,,,,20000.0,9.317003909,,,,
1956,38,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Anjar, Bhuj, Gandhidham, Kandla",,,,,,,,6.0,Richter,23,70,21:02,,1956,7.0,21.0,1956,7.0,21.0,113.0,219.0,,,219.0,,,10.50315398,,,,
1967,77,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Maharashtra, Koynana",,,,,,,,7.0,Richter,17.412,73.885,04:21,,1967,12.0,11.0,1967,12.0,11.0,177.0,2272.0,50000.0,,52272.0,,400.0,12.88906472,,,,
1970,112,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Broach,,,,,,,,5.0,Richter,21.7,73,07:22,,1970,3.0,23.0,1970,3.0,23.0,26.0,200.0,,,200.0,,,15.00128211,,,,
1975,14,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Kinnaur district, Kashmir; Himachal Pradesh",,,,,,,,7.0,Richter,32.455,78.43,13:32,,1975,1.0,19.0,1975,1.0,19.0,47.0,,,,,,,20.79379863,,,,
1980,84,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Jammu (Kashmir),,,,,,,,6.0,Richter,32.913,75.633,03:06,,1980,8.0,24.0,1980,8.0,24.0,13.0,40.0,,,40.0,,,31.84110657,,,,
1984,124,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Cachar district (Assam),,,,,No,No,,6.0,Richter,24.40 N,92.34 E,,,1984,12.0,31.0,1984,12.0,31.0,20.0,100.0,800.0,10000.0,10900.0,,,40.13865994,,,,
1986,372,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Dharmsala,,,,,No,No,,5.0,Richter,32.128 N,76.374 E,,,1986,4.0,26.0,1986,4.0,26.0,6.0,30.0,,,30.0,,5000.0,42.35069857,,,,
1988,382,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Dharbhanga, Madhubani, Saharsa, Munger, Khagana, Bihar Sharie (Bihar State)",,,,Yes,,,,7.0,Richter,26.755,616,4:39,,1988,8.0,21.0,1988,8.0,21.0,382.0,3766.0,20000000.0,,20003766.0,,71500.0,45.69289676,,,,
1991,368,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Harsil (near Gangotri, Uttarkashi's Bhagirathi valley, Uttar Pradesh)",,"Slide (land, mud, snow, rock)",,Yes,No,No,,6.0,Richter,30.780 N,78.774 E,,,1991,10.0,20.0,1991,10.0,20.0,1500.0,1383.0,53000.0,,54383.0,,60000.0,52.62202002,,,,
1993,74,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Killari, Haegoan, Sostour, Holi (Latur and Osmanabad districts, Maharastra state)",,,,Yes,No,No,16452.0,6.0,Richter,16.40 N,74.20 E,,,1993,9.0,29.0,1993,9.0,29.0,9748.0,30000.0,,,30000.0,,280000.0,55.8161073,,,,
1993,581,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Latur area,,,,,No,No,,5.0,Richter,18.120 N,76.533 E,,,1993,11.0,12.0,1993,11.0,12.0,,25.0,500.0,,525.0,,,55.8161073,,,,
1997,115,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Jabalpur (Madhya Pradesh),,,,,No,No,,6.0,Richter,23.083 N,80.041 E,04:22,,1997,5.0,22.0,1997,5.0,22.0,43.0,1500.0,125000.0,30000.0,156500.0,,37000.0,62.02075732,,,,
1999,99,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Chamoli, Rudraprayag, Bageshwar (new district), Tehri Garhwal, Pauri Garhwal district",,,,Yes,,,25.0,7.0,Richter,30.512,79.403,0:35,,1999,3.0,28.0,1999,3.0,28.0,100.0,394.0,372000.0,105500.0,477894.0,,2000.0,64.36159282,,,,
2001,33,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",,,,Yes,,,118929.0,8.0,Richter,23.419,70.232,8:46,,2001,1.0,26.0,2001,1.0,26.0,20005.0,166812.0,4365000.0,1790000.0,6321812.0,100000.0,2623000.0,68.41537906,2,,17635;17636;17637;17638;17639;17640;17641;17642;17643;17644;17645;17647;17648;17649;17650;17652;70124;70125;70127;70129;70130,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara (Adm2). "
2002,584,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Andaman Islands district (Andaman and Nicobar province),,Tsunami/Tidal wave,,,,,,7.0,Richter,13.036,93.068,4:00,,2002,9.0,13.0,2002,9.0,13.0,2.0,,,200.0,200.0,,,69.50047255,2,,17545,Andaman Islands (Adm2). 
2004,659,,Natural,Geophysical,Earthquake,Tsunami,,,India,IND,Southern Asia,Asia,"Kancheepuram, Villupuram, Nagapattinam, Thoothukudi, Tirunelveli Kattabo, Kanniyakumari, Chennai, Thiruvallur, Cuddalore, Pudukkottai, Ramanathapuram, Sivaganga, Thanjavur districts (Tamil Nadu province), Vishakhapatnam, East Godavari, West Godavari, Krishna, Guntur, Prakasam, Nellore districts (Andhra Pradesh province), Kollam, Alappuzha, Ernakulam districts (Kerala province), Puducherry, Karaikal district (Puducherry province), Andaman and Nicobar province",Earthquake,,,Yes,,,,9.0,Richter,3.295,95.982,,,2004,12.0,26.0,2004,12.0,26.0,16389.0,6913.0,647599.0,,654512.0,5000.0,1022800.0,72.98112921,1;2,1484,17551;17552;17556;17561;17563;17566;17569;17699;17707;17866;17870;17876;17878;17881;17882;17884;70226;70228;70242;70243;70244;70247;70251;70255;70298,"Andaman and Nicobar (Adm1). Alappuzha, Chennai, Cuddalore, East Godavari, Ernakulam, Guntur, Kancheepuram, Kanniyakumari, Karaikal, Kollam, Krishna, Nagapattinam, Nellore, Prakasam, Puducherry, Pudukkottai, Ramanathapuram, Sivaganga, Thanjavur, Thiruvallur, Thoothukudi, Tirunelveli Kattabo, Villupuram, Vishakhapatnam, West Godavari (Adm2). "
2005,575,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Administrative unit not available districts (Jammu and Kashmir province),,Fire,,Yes,,,,8.0,Richter,34.539,73.588,,,2005,10.0,8.0,2005,10.0,8.0,1309.0,6622.0,,150000.0,156622.0,,1000000.0,75.45719958,2,,40410;40414;72789;72802;72810,Administrative unit not available (Adm2). 
2006,548,,Natural,Hydrological,Flood,Flash flood,,,India,IND,Southern Asia,Asia,Jammu and Kashmir provinces,Monsoonal rai,"Slide (land, mud, snow, rock)",,,,,,,Km2,32.89,73.88,,"Jhelum, Sutlej, Lidder, Chenab, Tavi, Tawi, Munnawar Tawi",2006,8.0,31.0,2006,9.0,11.0,19.0,,15000.0,,15000.0,,,77.89139999,1,40422;40423;40424;40425;40426;40427;40428;40429;40430;40431,,Jammu and Kashmir (Administrative unit not available) (Adm1). 
2006,370,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Gajapati, Rayagada districts (Orissa province)",Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,,31360.0,Km2,19.17,83.65,,"Gajapati, Rayagada, Jhingiritial",2006,7.0,3.0,2006,7.0,8.0,33.0,,,,,,,77.89139999,2,,70213;70224,"Gajapati, Rayagada (Adm2). "
2006,417,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Andhra Pradesh, Gujarat, Maharashtra, Chhattisgarh, Rajasthan, Madhya Pradesh, Orissa, Karnataka provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,4474.0,165400.0,Km2,20.19,73.82,,"Narmada, Pooma, Puma, Ambika",2006,7.0,28.0,2006,9.0,12.0,350.0,65.0,,4000000.0,4000065.0,407000.0,3390000.0,77.89139999,1,1485;1491;1494;1498;1504;1506;70075;70079,,"Andhra Pradesh, Chhattisgarh, Gujarat, Karnataka, Madhya Pradesh, Maharashtra, Orissa, Rajasthan (Adm1). "
2006,510,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Andhra Pradesh, West Bengal, Bihar provinces",Monsoonal rain,Flood,,,,,,,Kph,19.73,83.75,,,2006,9.0,18.0,2006,10.0,5.0,114.0,300.0,,150000.0,150300.0,,,77.89139999,1,1485;1511;70073,,"Andhra Pradesh, Bihar, West Bengal (Adm1). "
2006,207,,Natural,Hydrological,Flood,Flash flood,,,India,IND,Southern Asia,Asia,"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, Srikakulam, Krishna districts (Andhra Pradesh province)",Heavy rain,,,,,,,190900.0,Km2,17.43,82.81,,,2006,4.0,15.0,2006,4.0,18.0,20.0,,,,,,,77.89139999,2,,17547;17553;17554;17555;17556;17558;17559;17560;17562;17564;17565;17568,"Adilabad, Hyderabad, Karimnagar, Khammam, Krishna, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Srikakulam, Warangal (Adm2). "
2006,262,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Assam, Tripura provinces",Monsoonal rain,,,,,,,47020.0,Km2,26.6,94.02,,Brahmaputra and tributaries,2006,5.0,31.0,2006,7.0,24.0,21.0,,504000.0,,504000.0,,,77.89139999,1,1487;1509,,"Assam, Tripura (Adm1). "
